name,aka,page_start,page_end,row_count,chars_count,ks.,firstlast,dob
"Järnefelt-Rauanheimo, Betty",Betty Rauanheimo; Elisabet Josefina Rauanheimo,154,154,23,837,0,Betty Järnefelt-Rauanheimo,
"Järner, V.V.","Väinö Vilhelm Järner, v:een 1939 Viherkoski",154,155,73,2872,0,V.V. Järner,16.9.1910
"Järventaus, K.A.","Kustaa-Adolf Järventaus, v:een 1905; Ockenström",155,155,25,1005,0,K.A. Järventaus,28.12.1896
"Järvinen, A.E.",Erkki Jauri; Aarne Erkki Järvinen,155,156,128,5321,0,A.E. Järvinen,13.7.1891
"Järvinen, L.J.",Lauri Johannes Järvinen,156,156,8,314,0,L.J. Järvinen,7.4.1903
"Järvinen, Laila Emilia",,156,158,208,7930,0,Laila Emilia Järvinen,17.2.1895
"Järvinen, Lauri Aukusti",,158,158,8,336,0,Lauri Aukusti Järvinen,13.8.1909
"Järviö, Hannes","ks. Sankila, Urpo",158,158,1,17,1,Hannes Järviö,
"Jäsys, K.J.",Ilma Sutinen- Wigelius,158,158,5,137,0,K.J. Jäsys,12.5.1892
"Jäämää, Kaarlo Aatto Ilmari","Ilmari, Veli Bonifacius; v:een 1906 Islander",158,158,72,3119,0,Kaarlo Aatto Ilmari Jäämää,24.10.1888
"Jääskeläinen, Lempi Inkeri",L.J. Inkeri,158,160,214,8659,0,Lempi Inkeri Jääskeläinen,15.12.1900
"Jääskeläinen, Mauno","ks. Jääski, Manu",160,160,1,16,1,Mauno Jääskeläinen,
"Jääski, Manu",Mauno Wilhelm Jääskeläinen,160,160,35,1394,0,Manu Jääski,17.11.1907
K.E.,"ks. Elg, Karin",160,160,1,14,1,K.E.,
K.E.S.,"ks. Sonck, K.E.",160,160,1,15,1,K.E.S.,
K.Kn,"ks. Kasiin, K.",160,161,2,44,1,K.Kn,
K.W.,"ks. Väänänen, Kalle",161,161,1,19,1,K.W.,
K.W.S.,"ks. Silfverberg, K.W.",161,161,1,21,1,K.W.S.,
"Kaari, Anna",Ilona; Anna Kaarina Tuulikki Anderson,161,161,26,1002,0,Anna Kaari,4.4.1903
Kaarina,Esteri Haapanen; Toini Esteri Paalanen,161,162,84,3119,0,Kaarina,16.4.1886
"Kaarlahti, Alpo","ks. Kupiainen, Alpo",162,162,1,19,1,Alpo Kaarlahti,
"Kaarna, Kaarina","ks. Kallio, Tuulikki",162,162,1,20,1,Kaarina Kaarna,
"Kahva, A.","ks. Arti, V.",162,162,1,12,1,A. Kahva,
"Kai, Arvi","ks. Kajas, Mauri",162,162,1,16,1,Arvi Kai,
"Kai, Maja",Fanny Leväsalo,162,162,9,392,0,Maja Kai,
"Kaijärvi, Yrjö Vilhelm",Yrjö Teppo; v:een 1936 Törnqvist,162,163,164,7046,0,Yrjö Vilhelm Kaijärvi,19.4.1896
"Kaikkonen, Helli Helena",,163,164,131,4923,0,Helli Helena Kaikkonen,24.2.1898
"Kaila, Eila","ks. Kaukovalta, Eila",164,164,1,20,1,Eila Kaila,
"Kaila, Eino Sakari",v:een 1906 Johansson,164,165,92,3616,0,Eino Sakari Kaila,9.8.1890
"Kaila, Erkki",v:een 1906 Johansson,165,166,79,3221,0,Erkki Kaila,2.6.1867
"Kaila, Toivo Torsten",T.T.K.; v:een 1901 Johansson,166,166,59,2325,0,Toivo Torsten Kaila,
"Kailas, Frans Uuno","Unilukkari, U.K.; aik. Salonen",166,168,189,8391,0,Frans Uuno Kailas,29.3.1901
"Kainuu, Väinö",Väinö Olavi Piirainen,168,168,22,845,0,Väinö Kainuu,29.7.1907
"Kaipainen, Oskar",,168,168,2,86,0,Oskar Kaipainen,
"Kaipia, Aira","ks. Erjakka, Helvi",168,168,1,18,1,Aira Kaipia,
"Kaisla, Kerttu",,168,168,2,75,0,Kerttu Kaisla,
"Kaitera, Toivo",,168,168,8,305,0,Toivo Kaitera,18.5.1883
"Kajanto, Antero",A.K.; aik. Anton Kononoff,168,169,93,3793,0,Antero Kajanto,4.12.1895
"Kajas, Mauri","Arvi Mauri Kai, aik. Mäkinen",169,169,20,742,0,Mauri Kajas,23.9.1894
"Kajava, Siiri","ks. Pihlava, Liisa",169,169,1,18,1,Siiri Kajava,
"Kajava, Viljo Lennart",,169,172,325,14367,0,Viljo Lennart Kajava,22.9.1909
Kakkonen,"ks. Kupiainen, Unto",172,172,1,19,1,Kakkonen,
"Kakkonen, Kalle","ks. Kupiainen, Unto",172,172,1,19,1,Kalle Kakkonen,
Kaksi rakuunaa,"ks. Karilas, Taunoja Kupiainen, Unto",172,172,1,36,1,Kaksi rakuunaa,
"Kalima, Marita",Toini Marita Niemeläinen,172,172,17,633,0,Marita Kalima,22.5.1915
"Kallio, Olavi",Vihtori Karpio; v:een 1906 Glumerus,172,172,51,2037,0,Olavi Kallio,16.5.1885
"Kallio, Tuulikki","Kaarina Kaarna, Kleopatra, Kaisu Vaara,; Katri Viita, Irja Vuosalo; Karin Elisabet Kaarna",172,173,47,1697,0,Tuulikki Kallio,20.10.1898
"Kalliokoski, Antero","ks. Uotila, Erkki",173,173,1,17,1,Antero Kalliokoski,
"Kalliovaara, K.P.","Kustaa Paavali Kalliovaara,; v:een 1906 Finby",173,173,9,321,0,K.P. Kalliovaara,5.6.1885
"Kalma, Lauri",Aarne Inha,173,173,5,156,0,Lauri Kalma,
"Kalske, Elli",,173,173,2,69,0,Elli Kalske,
"Kanerva, Akseli","ks. Satakoski, Juha",173,173,1,19,1,Akseli Kanerva,
"Kangas, Elna","ks. Suomalainen, Aune",173,173,1,21,1,Elna Kangas,
"Kankainen, Hanna",Saara Johanna Kankainen,173,173,17,714,0,Hanna Kankainen,19.7.1898
"Kannila, Helle",v:een 1938 Cannelin,173,174,48,1902,0,Helle Kannila,20.5.1896
"Kanninen, Mauno Matti Johannes",,174,174,24,1074,0,Mauno Matti Johannes Kanninen,18.8.1905
"Kansanen, Rakel","R.K., Rakel Kansanen-Toivola; Lyyli Elisabet Toivola",174,174,35,1325,0,Rakel Kansanen,18.7.1888
"Kantele, Signe Salome",,174,175,33,1276,0,Signe Salome Kantele,29.11.1890
"Kantola, Laila Siiri Mielikki",,175,175,12,502,0,Laila Siiri Mielikki Kantola,10.10.1902
"Kantola, Unto Ensio",,175,175,11,455,0,Unto Ensio Kantola,19.2.1914
Kapteeni Hell,Vesa Erkki Syrjänen,175,175,42,1532,0,Kapteeni Hell,17.3.1914
Kapteeni Leo Rainio,"ks. Pulla, Armas J.",175,175,1,19,1,Kapteeni Leo Rainio,
Kapteeni Vähäkäs,Ensi Elias Somersalo; v:een 1906 Sommer,175,176,13,465,0,Kapteeni Vähäkäs,9.6.1884
"Kara, Marketta","ks. Huttunen, Sylva",176,176,1,19,1,Marketta Kara,
"Karén, Arnold",Uno Edvin Högnäs,176,176,22,906,0,Arnold Karén,21.10.1899
"Kares, Kaarlo Olavi",,176,176,60,2317,0,Kaarlo Olavi Kares,24.3.1903
"Karhia, Rauni","ks. Komppa, Ilona",176,176,1,17,1,Rauni Karhia,
"Karhu, Tuomas Edward",ks. Rietu K.,176,177,2,44,1,Tuomas Edward Karhu,
"Karhumäki, Urho Johannes","Jussi Haukka, Nalle, Tavi Ylämaa",177,178,175,7435,0,Urho Johannes Karhumäki,7.6.1891
"Karhunkuru, Erkki","ks. Dahlberg, Erik",178,178,1,18,1,Erkki Karhunkuru,
"Kari, Annikki",Anna Kari,178,178,6,207,0,Annikki Kari,11.2.1891
"Kari, Urpo Artturi",,178,178,24,912,0,Urpo Artturi Kari,4.8.1906
"Karila, Olli",Niilo Pärnänen,178,179,55,2167,0,Olli Karila,19.4.1897
"Karilas, Esteri Vilhelmina",Ester Karilas,179,179,38,1438,0,Esteri Vilhelmina Karilas,30.6.1890
"Karilas, Tauno Valto","Antti Haukka, Laura Jenner,; Kaksi rakuunaa; v:een 1906 Karlsberg",179,181,280,11084,0,Tauno Valto Karilas,20.10.1900
"Karilas, Yrjö Antero",v:een 1906 Karlsberg,181,183,181,7338,0,Yrjö Antero Karilas,3.1.1891
"Karimaa, Maila",Maili Ojanne,183,183,5,171,0,Maila Karimaa,
"Karimo, Aarno",v:een 1906 Hasselqvist,183,183,42,1826,0,Aarno Karimo,29.12.1886
"Kariniemi, Kaarlo","ks. Nieminen, Kaarlo",183,183,1,20,1,Kaarlo Kariniemi,
"Kari-Oja, O.S.",Oskari Oja,183,183,4,152,0,O.S. Kari-Oja,
"Karjalainen, Elma",ks. Kyllikki,183,183,1,12,1,Elma Karjalainen,
"Karlsson, Emil",,183,183,3,115,0,Emil Karlsson,
"Karmanne, Knut Gustaf",aik. Grönblad,183,183,11,424,0,Knut Gustaf Karmanne,28.12.1881
"Karmo, B.",,183,183,1,33,0,B. Karmo,
"Karpala, Jaakko","ks. Talvitie, Oiva",183,184,2,48,1,Jaakko Karpala,
"Karpala, Kalle",Kaarlo Unho,184,184,3,85,0,Kalle Karpala,
"Karpalo, Olavi",,184,184,4,160,0,Olavi Karpalo,
"Karpio, Sulo",v:een 1906 Glumerus,184,184,75,2867,0,Sulo Karpio,6.1.1890
"Karpio, Vihtori","ks. Kallio, Olavi",184,184,1,17,1,Vihtori Karpio,
"Karppi, Anna /salanimi/",,184,184,1,46,0,Anna /salanimi/ Karppi,
"Karr, Petra","ks. Oterdahl, Aina",184,184,1,18,1,Petra Karr,
"Karrakoski, F.M.","Frans Markus Karrakoski, aik. Johansson",184,185,34,1356,0,F.M. Karrakoski,28.3.1888
"Karresand, Mikael","ks. Miihkali, Onttoni",185,185,1,21,1,Mikael Karresand,
"Karri, Unto Lenni Alfred",v:een 1930 Laakso,185,186,138,5977,0,Unto Lenni Alfred Karri,19.9.1898
"Karro, Asa",Heikki Mustonen,186,186,3,117,0,Asa Karro,
"Karto, Irma Anitra",Marja Ritna,186,186,19,687,0,Irma Anitra Karto,10.4.1913
"Karu, Erkki","Erland Karu, v:een 1907 Kumlander,; 1907—12 Kultavaara",186,186,8,295,0,Erkki Karu,10.4.1887
"Karumo, Veikko Sakari",v:een 1933 Kronholm,186,187,53,2075,0,Veikko Sakari Karumo,12.5.1913
"Karunki, Pekka",v:een 1935 Suhisten,187,187,19,742,0,Pekka Karunki,7.3.1906
"Kaskamo, O.","ks. Haini, Onni",187,187,1,15,1,O. Kaskamo,
"Kaskimaa, Kerttu",Kerttu Nivala,187,187,16,656,0,Kerttu Kaskimaa,26.7.1892
"Kaslin, K.",K.Kn; Kaarlo Edwin Kasiin,187,187,25,951,0,K. Kaslin,11.3.1887
"Kasper, Lars",Knut Henrik Magnus von Hertzen,187,188,30,1251,0,Lars Kasper,24.11.1901
"Kasurinen, Anna",Kaari Tuovinen; Kaija Väänänen,188,188,52,1942,0,Anna Kasurinen,4.12.1911
"Katila, Mikko",,188,188,9,376,0,Mikko Katila,4.10.1863
"Katkera, Kaarlo",Urho Manelius,188,188,3,87,0,Kaarlo Katkera,
"Katve, Ange",Ange Rae,188,188,3,78,0,Ange Katve,
"Kauhanen, Sylvi",,188,189,28,1109,0,Sylvi Kauhanen,22.6.1906
"Kaukomaa, Martta",,189,189,18,691,0,Martta Kaukomaa,
"Kaukonen, Toini",,189,189,33,1335,0,Toini Kaukonen,
"Kaukonen, Väinö",,189,189,36,1461,0,Väinö Kaukonen,18.3.1911
"Kaukovalta, Eila",Eila Kaukovalta-Kaila; Eila Irma Maria Kaila,189,190,33,1322,0,Eila Kaukovalta,27.1.1911
"Kaukovalta, Ilpo","ks. Valta, Kauko",190,190,1,16,1,Ilpo Kaukovalta,
"Kaukovalta, K.V.","Kyösti Valfrid Kaukovalta,; v:een 1905 Alitalo",190,190,66,2630,0,K.V. Kaukovalta,30.1.1885
"Kaukovalta-Kaila, Eila","ks. Kaukovalta, Eila",190,190,1,20,1,Eila Kaukovalta-Kaila,
"Kauppinen, Toivo",ks. Topias,190,190,1,10,1,Toivo Kauppinen,
"Kauppo, Teuvo",ks. Topias,190,191,2,39,1,Teuvo Kauppo,
"Kavanto, Laila","ks. Kantola, Laila",191,191,1,18,1,Laila Kavanto,
"Keinonen, Annikki",A nna-Kaarina Keinonen,191,191,11,403,0,Annikki Keinonen,18.3.1908
"Keinänen, H.",,191,191,2,68,0,H. Keinänen,
"Kekäle, Pietari",Uuno Pekka Kekäläinen,191,191,20,788,0,Pietari Kekäle,10.5.1896
"Kekäläinen, Uuno","ks. Kekäle, Pietari",191,191,1,19,1,Uuno Kekäläinen,
"Keller, Georg /salanimi/",,191,191,2,63,0,Georg /salanimi/ Keller,
"Kelo, Ilmari","Uuno Matti Jore, aik. Jussilainen",191,191,9,369,0,Ilmari Kelo,27.2.1904
"Kemilä, J.","ks. Orjanheimo, Osmo",191,191,1,20,1,J. Kemilä,
"Kemppainen, Eino Albert",,191,191,18,694,0,Eino Albert Kemppainen,20.3.1883
"Kemppi, Ilona",,191,192,4,156,0,Ilona Kemppi,
"Kemppi, Pekka",,192,192,16,671,0,Pekka Kemppi,30.7.1897
"Kemppi, Usko Urho",v:een 1943 Hurmerinta,192,192,29,1173,0,Usko Urho Kemppi,12.2.1907
"Kennington, Earl","ks. Nuorvala, Kaarlo",192,192,1,20,1,Earl Kennington,
"Kennäs, Kauko","ks. Nyyssölä, Eino",192,192,1,18,1,Kauko Kennäs,
"Kepilä-Peltonen, Lempi",Lempi Peltonen,192,192,12,471,0,Lempi Kepilä-Peltonen,25.5.1894
"Kerekes, Ilona","ks. Unho, Ilmari",192,192,1,16,1,Ilona Kerekes,
"Kerkkola, LE.","ks. Mertala, Ahti",192,192,1,17,1,LE. Kerkkola,
"Keränen, Yrjö August Gerhard",,192,192,8,330,0,Yrjö August Gerhard Keränen,16.5.1901
"Keskinen, Otto",,192,193,5,182,0,Otto Keskinen,
"Ketara, Heikki","ks. Talvitie, Oiva",193,193,1,18,1,Heikki Ketara,
"Ketola, Otto Einari",aik. Frestadius,193,193,14,492,0,Otto Einari Ketola,23.4.1904
"Kettunen, Pekka",,193,193,12,510,0,Pekka Kettunen,11.9.1890
"Kihlman, Bertel Lorenzo",,193,194,118,4862,0,Bertel Lorenzo Kihlman,14.1.1898
"Kihlman, Erik Lorenzo",,194,194,53,2181,0,Erik Lorenzo Kihlman,4.2.1895
"Kiikka, Siiri",,194,194,2,66,0,Siiri Kiikka,
"Kiiras, Oskari Emil",v:een 1933 Lindström,194,194,8,319,0,Oskari Emil Kiiras,14.9.1903
"Kilpeläinen, Irja Inkeri",Naapurin Liisa,194,195,52,2118,0,Irja Inkeri Kilpeläinen,17.6.1911
"Kilpi, Sylvi-Kyllikki",,195,195,35,1397,0,Sylvi-Kyllikki Kilpi,23.4.1899
"King, Dicky","ks. Engström, T.A.",195,195,1,18,1,Dicky King,
Kirso,"ks. Kivimies, Yrjö",195,195,1,18,1,Kirso,
Kirsti,Kirsti Adler,195,195,4,132,0,Kirsti,
"Kittelä, Mauri",,195,196,23,881,0,Mauri Kittelä,13.12.1898
Kitty,"ks. Strandberg, Gett",196,196,1,20,1,Kitty,
"Kivelä, Eetu","ks. Pulli, E.A.",196,196,1,15,1,Eetu Kivelä,
"Kivi, Ainikki Margit Saimi",,196,196,72,2818,0,Ainikki Margit Saimi Kivi,20.7.1899
"Kivi, Anna",ks. Anna-täti,196,196,1,13,1,Anna Kivi,
"Kivikallio, Kerttu",Kerttu Stenberg,196,196,2,67,0,Kerttu Kivikallio,
"Kivikk’aho, Eila",Eila Sylvia Sammalkorpi,196,198,183,7365,0,Eila Kivikk’aho,8.2.1921
"Kivikoski, Aune",,198,198,3,146,0,Aune Kivikoski,
"Kivimaa, Kaarlo Arvi",Heikki Taura,198,200,332,14397,0,Kaarlo Arvi Kivimaa,6.9.1904
"Kivimies, Yrjö Armas",Kirso; aik. Uuno Armas Mattila,200,202,159,6421,0,Yrjö Armas Kivimies,8.12.1899
"Kivipelto, T.E.",,202,202,3,112,0,T.E. Kivipelto,
"Kiviranta, Eero Johannes",,202,202,73,2740,0,Eero Johannes Kiviranta,27.8.1917
"Kivirinta, Lahja Jaakko",v:een 1907 Mattson,202,203,21,790,0,Lahja Jaakko Kivirinta,21.4.1886
"Kivistö, Ukko","Uuno Erland Kivistö, v:een 1906 Äker",203,203,81,3220,0,Ukko Kivistö,30.3.1891
"Kivistö, Uuno","ks. Kivistö, Ukko",203,203,1,17,1,Uuno Kivistö,
"Kivitie, Kaisa",,203,203,11,406,0,Kaisa Kivitie,8.3.1920
"Klami, Dagmar Lyyli",,203,204,28,1095,0,Dagmar Lyyli Klami,14.1.1899
"Klancken, von","ks. Holmberg, Einar",204,204,1,19,1,von Klancken,
"Klemetti, Heikki Valentin",,204,204,80,3305,0,Heikki Valentin Klemetti,14.2.1876
"Klemola, Irja Tellervo",,204,205,18,709,0,Irja Tellervo Klemola,13.1.1898
Kleopatra,"ks. Kallio, Tuulikki",205,205,1,20,1,Kleopatra,
"Klinthe, P.J.",ks. Sverre P:son Sverre,205,205,1,23,1,P.J. Klinthe,
"Knyphausen, Brita","ks. Gustafson, Brita",205,205,1,20,1,Brita Knyphausen,
"Kohonen, Yrjö Mikael",,205,205,72,3056,0,Yrjö Mikael Kohonen,28.1.1910
"Koistinen, Kaarlo",,205,205,5,208,0,Kaarlo Koistinen,
"Koitere, Esikko",Uljas Esikko Grönroos,205,206,10,380,0,Esikko Koitere,24.11.1879
"Koivisto, Aug.",,206,206,2,97,0,Aug. Koivisto,
"Koivisto, Eino",,206,206,2,93,0,Eino Koivisto,
"Koivistoinen, Eino Hannes",,206,206,107,4188,0,Eino Hannes Koivistoinen,10.5.1907
"Koivistoinen, Juho","ks. Savakko, J.",206,207,2,43,1,Juho Koivistoinen,
"Koivukanta, Johannes","Frans Johannes Talaskivi, v:een 1906 Rams",207,207,10,406,0,Johannes Koivukanta,23.3.1881
"Koivukari, Yrjö Valdemar",v:een 1931 Mononen,207,207,50,2086,0,Yrjö Valdemar Koivukari,27.4.1901
"Koivukoski, Tauno Immanuel",v:een 1933 Blom,207,207,16,533,0,Tauno Immanuel Koivukoski,11.1.1908
"Koivulehto, Richard",,207,207,2,85,0,Richard Koivulehto,
"Kokki, Aira Adele",,207,208,36,1312,0,Aira Adele Kokki,19.11.1910
"Kokko, Yrjö Olavi Samuli",,208,209,131,5434,0,Yrjö Olavi Samuli Kokko,16.10.1903
"Kokkola, Antti",,209,209,1,30,0,Antti Kokkola,
"Kolima, Arvo A.",Arvo Helander,209,209,3,100,0,Arvo A. Kolima,
"Koljonen, Vilho",Vilcol,209,209,24,1022,0,Vilho Koljonen,18.8.1910
"Koltta, Eero",Aalto Tapio Piha,209,209,25,883,0,Eero Koltta,6.4.1906
"Komppa, Ilona",Rauni Karhia,209,210,37,1349,0,Ilona Komppa,10.7.1912
"Konkka, Juhani",Urho Torikka,210,212,318,12557,0,Juhani Konkka,4.9.1904
"Kontio, Jukka /salanimi/",,212,212,7,264,0,Jukka /salanimi/ Kontio,
Konttinen Aili,,212,213,118,4488,0,Konttinen Aili,4.3.1906
"Konttinen, Maija",Iida Maria Konttinen,213,213,11,399,0,Maija Konttinen,3.3.1873
"Koponen, Aarne Vilhelm",,213,214,24,899,0,Aarne Vilhelm Koponen,17.12.1896
"Kopra, Antti",,214,214,1,50,0,Antti Kopra,
"Korhonen, Oili",Vilho Olavi Korhonen,214,214,10,358,0,Oili Korhonen,19.7.1915
"Korhonen, P.",Pekka Korhonen,214,214,7,252,0,P. Korhonen,24.3.1880
"Korhonen, Siviä",,214,214,3,121,0,Siviä Korhonen,
"Korhonen, Walfrid",,214,214,1,31,0,Walfrid Korhonen,
"Korhonen, Viena",Viena Maria Jolma,214,214,31,1323,0,Viena Korhonen,13.12.1905
"Korpela, Sampsa Jaakko",,214,214,16,691,0,Sampsa Jaakko Korpela,19.3.1903
"Korpela, T.J.",Bakkus; Toivo Jalmari Korpela,214,215,37,1433,0,T.J. Korpela,9.10.1888
"Korpi, Vilho",,215,215,2,78,0,Vilho Korpi,
Korpifilosofi,"ks. Vala, Erkki",215,215,1,15,1,Korpifilosofi,
"Korpijaakko, Otto Albert",O. Stenij; v:een 1929 Stenij,215,215,23,853,0,Otto Albert Korpijaakko,10.11.1900
"Korpilinna, Toivo Anselm",aik. Wallenius,215,216,43,1664,0,Toivo Anselm Korpilinna,5.3.1891
"Korppi, Kristian","ks. Waltari, Mika",216,216,1,17,1,Kristian Korppi,
"Korvenkelo, Teppo",Th. Seppälä,216,216,3,101,0,Teppo Korvenkelo,
"Korven-Korpinen, Elna",,216,216,8,304,0,Elna Korven-Korpinen,
"Korven-Korpinen, P.",,216,216,10,430,0,P. Korven-Korpinen,
"Koskela, Tauno Juhani",,216,216,48,2030,0,Tauno Juhani Koskela,11.10.1916
"Koskela, Unto Iisak",,216,217,49,2180,0,Unto Iisak Koskela,3.12.1908
"Koskenkari, A.J.",,217,217,2,57,0,A.J. Koskenkari,
"Koskensalpa, Akseli","ks. Penttilä, Simo",217,217,1,18,1,Akseli Koskensalpa,
"Koskensalpa, Artturi","ks. Penttilä, Simo",217,217,1,18,1,Artturi Koskensalpa,
"Koski, Arne",ks. Outsider,217,217,1,12,1,Arne Koski,
"Koski, Hillevi",Ester Ström,217,217,8,329,0,Hillevi Koski,
"Koskimaa, Juho Aleksanteri",v:een 1918 Dahlström,217,218,90,3633,0,Juho Aleksanteri Koskimaa,13.4.1891
"Koskimies, Irma",Irma Ilona Gustava Koskimies-Apiola,218,218,24,998,0,Irma Koskimies,3.9.1911
"Koskimies, Kaarlo Rafael",v:een 1926 Forsman,218,219,132,5292,0,Kaarlo Rafael Koskimies,9.2.1898
"Koskinen, Elli","ks. Paasi, Varpu",219,219,1,16,1,Elli Koskinen,
"Koskinen, Kosti Verner",,219,219,7,294,0,Kosti Verner Koskinen,14.10.1905
"Kosonen, Irmeli",,219,219,3,113,0,Irmeli Kosonen,
"Kosonen, Otto","O.K., Ohto Oinasmies",219,220,76,2981,0,Otto Kosonen,7.5.1896
"Kotijärvi, Hellä",Luppovaaran Isko; Reinhold Pehkonen,220,220,12,438,0,Hellä Kotijärvi,
"Kotilahti, Aino /salanimi/",,220,220,1,41,0,Aino /salanimi/ Kotilahti,
"Kotka, Hannes",,220,220,4,195,0,Hannes Kotka,
"Kotkanen, Viljo Ilmari",Simo Sulka,220,220,20,815,0,Viljo Ilmari Kotkanen,6.10.1892
"Kotkatlahti-Grotenfelt, Thyra","ks. Grotenfelt, Thyra",220,220,1,21,1,Thyra Kotkatlahti-Grotenfelt,
"Kotsalo, A.",L. Lindberg,220,220,5,181,0,A. Kotsalo,
"Kraemer, Erik Oscar von",,220,221,43,1907,0,Erik Oscar von Kraemer,27.3.1911
"Krannila, Hiippa","ks. Ollinaho, Eeva",221,221,1,18,1,Hiippa Krannila,
"Krogius, Andree","ks. Morris, Maud",221,221,1,16,1,Andree Krogius,
"Krohn, Eino Leopold",,221,221,43,1701,0,Eino Leopold Krohn,8.2.1902
"Krokfors, Hjalmar Eugen",,221,222,61,2692,0,Hjalmar Eugen Krokfors,19.10.1904
"Krook, Kajsa",Karin Maria Krook,222,222,39,1440,0,Kajsa Krook,19.5.1910
"Kröger, Anni",Anna Gustava Kröger,222,222,13,493,0,Anni Kröger,13.9.1879
"Kuisma, Matti",,222,222,2,94,0,Matti Kuisma,
"Kuisma, Toivo",,222,223,4,127,0,Toivo Kuisma,
"Kukkonen, Aarne Kustaa",,223,223,8,291,0,Aarne Kustaa Kukkonen,17.9.1903
"Kukkonen, Eino","ks. Rannanpää, Kari",223,223,1,19,1,Eino Kukkonen,
"Kukkonen, Jussi","J.K. Kulomaa, Joel Linnala; Johannes Kukkonen",223,224,185,6853,0,Jussi Kukkonen,26.3.1892
"Kukkonen, Kalle","ks. Ollikainen, Eetu",224,224,1,20,1,Kalle Kukkonen,
"Kulkuri, Kyösti","ks. Moukka, Mikko",224,224,1,17,1,Kyösti Kulkuri,
"Kulomaa, J.K.","ks. Kukkonen, Jussi",224,224,1,19,1,J.K. Kulomaa,
"Kumankoski, Lauri","ks. Kuntijärvi, Lauri",224,224,1,21,1,Lauri Kumankoski,
"Kunnas, Unto Oskari",,224,225,53,2070,0,Unto Oskari Kunnas,3.10.1908
"Kuntijärvi, Lasse","ks. Kuntijärvi, Lauri",225,225,1,21,1,Lasse Kuntijärvi,
"Kuntijärvi, Lauri","Lauri Kumankoski, Lasse Kuntijärvi; aik. Kundiseroff",225,225,13,495,0,Lauri Kuntijärvi,20.3.1906
"Kuorikoski, Vilho Antero",,225,225,28,1124,0,Vilho Antero Kuorikoski,24.4.1892
"Kupiainen, Alpo","Alpo Kaarlahti, A.V. Niilesmaa",225,227,195,8066,0,Alpo Kupiainen,10.7.1888
"Kupiainen, Unto Aulis","Haavi, Kakkonen, Kalle Kakkonen,; Mikko Naula",227,228,224,9593,0,Unto Aulis Kupiainen,8.4.1909
"Kurikka, Juhani",,228,229,12,499,0,Juhani Kurikka,23.10.1870
"Kurjensaari, Kaarlo Matti",Saku Harkko; v:een 1939 Salonen,229,230,231,9868,0,Kaarlo Matti Kurjensaari,4.5.1907
"Kurkela, Eila Margit",,230,230,8,362,0,Eila Margit Kurkela,11.11.1920
"Kurki-Suonio, Aino Katri",,230,231,10,421,0,Aino Katri Kurki-Suonio,29.10.1900
"Kurki-Suonio, Ensio Voldemar",Kurki Suonio; v:een 1927 Krohn,231,231,24,945,0,Ensio Voldemar Kurki-Suonio,23.7.1896
"Kurko, Kaarlo Sakari","C. Guenard, Paul Hara, Rene Morand",231,231,45,1823,0,Kaarlo Sakari Kurko,10.10.1899
"Kurtén, Björn Olof Lennartson",,231,232,79,3205,0,Björn Olof Lennartson Kurtén,19.11.1924
Kutvonen Aleppo,Albin Kutvonen,232,232,20,824,0,Kutvonen Aleppo,27.3.1888
"Kuuliala, Wiljo-Kustaa",aik. Nurminen,232,232,31,1219,0,Wiljo-Kustaa Kuuliala,20.4.1891
"Kuusalo, Olavi",,232,233,2,81,0,Olavi Kuusalo,
"Kuusi, Matti Akseli",,233,233,93,3987,0,Matti Akseli Kuusi,25.3.1914
"Kuusikko, Anders Werner",Venni Kuusio,233,234,22,850,0,Anders Werner Kuusikko,3.5.1903
"Kuusio, Venni","ks. Kuusikko, Werner",234,234,1,20,1,Venni Kuusio,
Kyllikki,Elma Karjalainen,234,234,3,78,0,Kyllikki,
"Kyrölä, Vilho Leander",,234,234,22,907,0,Vilho Leander Kyrölä,18.4.1911
"Kytölä, Arvo",,234,234,3,116,0,Arvo Kytölä,
"Kä h Iinan, V.A.",ks. Sven i Österlid,234,234,1,19,1,V.A. Kä h Iinan,
"Kähre, Ernst Georg",Stefan Sylvander,234,234,59,2340,0,Ernst Georg Kähre,26.8.1899
"Käkriäinen, Juutas","ks. Siippainen, Eljas",234,235,2,49,1,Juutas Käkriäinen,
"Kärki, R.","ks. Hiiskoski, Uramo",235,235,1,20,1,R. Kärki,
"Kääriäinen, Arvi",Eino Partanen,235,235,3,40,0,Arvi Kääriäinen,
"Laakso, Aune","ks. Hämäläinen, Aune",235,235,1,20,1,Aune Laakso,
"Laakso, Lenni","ks. Karri, Unto",235,235,1,15,1,Lenni Laakso,
"Laaksonen, A.",Väinö Rantanen,235,235,2,52,0,A. Laaksonen,
"Lagarto, Margot","ks. Taiga, Marton",235,235,1,17,1,Margot Lagarto,
"Lagus, Lars Olof Wilhelm",,235,235,8,289,0,Lars Olof Wilhelm Lagus,11.3.1893
"Lahdenmäki, Matti",Matias William Lahdenmäki,235,235,27,1057,0,Matti Lahdenmäki,3.2.1900
"Lahdensuu, Ensi",,235,235,8,305,0,Ensi Lahdensuu,28.7.1897
"Lahti, Kosti Harald",,235,236,12,463,0,Kosti Harald Lahti,10.7.1899
"Lahti, Pentti Olavi",,236,236,48,1996,0,Pentti Olavi Lahti,29.4.1913
